公司,职位,城市,行业,职业技能,工作年限,薪资,融资情况
盈富斯,企划专员,广州,电商,"['市场分析', '市场竞争分析', '数据分析']",不限,4k-6k,C轮
汇付,数据分析,上海,"移动互联网,金融","['SQL', '数据分析']",3-5年,10k-20k,上市公司
毒APP,数据分析师,上海,"移动互联网,电商","['Hadoop', 'MySQL', '数据挖掘']",不限,20k-30k,B轮
网达软件,数据分析,上海,"移动互联网,电商","['SQL', 'SPSS', '数据分析', '数据库']",1-3年,6k-7k,上市公司
拉勾网,数据分析师,北京,企业服务,"['SQL', '数据分析', 'BI', 'SPSS']",1-3年,10k-18k,D轮及以上
广东智源,数据分析师,广州,"移动互联网,企业服务","['算法', '数据挖掘', '数据分析']",1-3年,8k-15k,不需要融资
玩吧,数据分析师,北京,社交,"['数据分析', 'SQL']",3-5年,15k-25k,B轮
欧恩德,数据分析师,广州,"移动互联网,金融",['数据分析'],1-3年,10k-13k,天使轮
玖富数科集团,数据分析师（运营分析方向）,北京,金融,"['SQL', '数据分析']",3-5年,15k-25k,D轮及以上
搜款网 VVIC,数据分析师,广州,"电商,企业服务",[],3-5年,10k-20k,不需要融资
菲凡数据,数据分析,深圳,"电商,数据服务",['数据分析'],3-5年,12k-20k,未融资
森马电商,数据分析师 (MJ000078),杭州,"移动互联网,电商","['数据分析', '数据处理']",1-3年,10k-15k,上市公司
源梦伟业,数据分析师（大望路）,北京,"移动互联网,数据服务",['数据分析'],3-5年,10k-15k,未融资
贝壳,数据分析师,北京,房产家居,['MySQL'],3-5年,15k-25k,D轮及以上
武汉佰钧成技术有限公司,数据分析,深圳,移动互联网,['数据分析'],3-5年,9k-11k,不需要融资
平安人寿,0222U8-数据分析岗,上海,金融,"['数据分析', '数据运营', 'SQL', 'SPSS']",1-3年,15k-30k,上市公司
贝壳,资深数据分析师,北京,房产家居,"['Hadoop', 'ETL', 'Hive', '数据分析']",5-10年,35k-55k,D轮及以上
斗米,数据分析师(J10086),北京,"移动互联网,消费生活","['商业', '数据分析', 'BI']",3-5年,10k-20k,B轮
淘集集,数据分析师（算法方向）,上海,电商,"['SQL', '数据分析']",3-5年,15k-30k,B轮
来电科技,数据分析师,深圳,"移动互联网,消费生活",['数据分析'],1-3年,10k-15k,不需要融资
毒APP,资深数据分析师,上海,"移动互联网,电商",['数据分析'],5-10年,25k-40k,B轮
快手,数据分析师,北京,文娱丨内容,[],3-5年,20k-40k,D轮及以上
OPPO,数据分析师,深圳,硬件,[],3-5年,20k-40k,不需要融资
网易,数据分析师,广州,电商,"['SQL', '数据分析', '数据库']",1-3年,10k-20k,上市公司
深圳市盛达瑞智能科技有限公司,数据分析师,深圳,"移动互联网,区块链",['数据分析'],3-5年,10k-20k,不需要融资
快乐种子,数据分析师,广州,"教育,游戏","['BI', '数据分析', 'SQL']",3-5年,10k-16k,B轮
斗鱼直播,数据分析师（武汉）(J10893),武汉,文娱丨内容,['数据分析'],应届毕业生,10k-20k,上市公司
畅游,数据分析师,北京,"移动互联网,游戏","['BI', '数据分析', 'SPSS']",1-3年,11k-18k,上市公司
人人贷,数据分析师,深圳,金融,['数据分析'],3-5年,15k-25k,A轮
展泰科技,数据分析师,深圳,"移动互联网,电商","['SQL', '可视化', '数据分析']",3-5年,10k-15k,未融资
快手,数据分析师－【X1】,北京,文娱丨内容,[],1-3年,20k-40k,D轮及以上
贝壳,数据分析师-业务分析方向,北京,房产家居,"['商业', 'BI']",3-5年,20k-40k,D轮及以上
量化派,数据分析师,北京,"金融,数据服务","['数据分析', 'SQL']",1-3年,15k-25k,C轮
酷狗音乐,SPBU-数据分析师（风控）,广州,文娱丨内容,['数据分析'],3-5年,15k-30k,上市公司
Nascent,数据分析师,杭州,电商,"['数据分析', 'BI']",1-3年,6k-12k,未融资
天下秀,数据分析师,北京,"移动互联网,广告营销",['数据分析'],3-5年,13k-20k,C轮
蘑菇街,资深数据分析师,杭州,电子商务,['运营'],3-5年,15k-20k,上市公司
爱牙邦,数据分析工程师,深圳,"移动互联网,电商",[],1-3年,15k-20k,B轮
深圳中原地产,数据分析专员,深圳,消费生活,"['数据库', '数据分析', 'SPSS']",不限,7k-9k,不需要融资
新网银行,数据分析师,成都,金融,"['数据挖掘', '数据分析']",5-10年,15k-30k,不需要融资
骑鹅旅行,数据分析工程师,广州,"旅游,数据服务",['数据挖掘'],不限,10k-20k,A轮
G7,数据分析主管(J12918),广州,"移动互联网,数据服务","['数据分析', '行业分析', '营销策略']",3-5年,10k-15k,C轮
拉勾网,高级数据分析师,北京,企业服务,"['商业', '数据分析']",5-10年,20k-40k,D轮及以上
AKULAKU,数据分析工程师,深圳,"移动互联网,金融",[],1-3年,10k-18k,D轮及以上
美团点评,资深数据分析师(数据分析负责人）,苏州,消费生活,"['SQL', '数据分析', '增长黑客']",5-10年,25k-45k,上市公司
贝壳,数据分析师,深圳,房产家居,"['MySQL', 'SQLServer']",3-5年,7k-12k,D轮及以上
宜信,数据分析 主管,北京,金融,"['市场分析', '数据分析']",3-5年,12k-20k,上市公司
锐安,数据分析工程师,北京,"信息安全,数据服务",['数据分析'],3-5年,13k-20k,未融资
如涵控股,数据分析实习,杭州,电商,"['SQL', '数据分析']",不限,4k-5k,C轮
北京航星永志科技有限公司,数据分析主管,北京,"信息安全,数据服务","['BI', '数据分析', 'SPSS']",1-3年,7k-10k,A轮
滴滴,人力数据分析师,北京,汽车丨出行,['人力资源'],5-10年,15k-30k,不需要融资
美菜网,数据分析经理,北京,电商,['数据分析'],1-3年,15k-25k,D轮及以上
AKULAKU,数据分析实习生,深圳,"移动互联网,金融",[],1年以下,3k-4k,D轮及以上
宜家,高级数据分析师,上海,消费生活,"['数据分析', '数据运营', 'SQL']",5-10年,1k-2k,不需要融资
大搜车,高级/资深数据分析师,杭州,汽车丨出行,"['ETL', 'Hive', '数据分析']",3-5年,18k-35k,D轮及以上
金山办公软件,数据分析专家,珠海,移动互联网,"['BI', '数据分析', '数据运营']",3-5年,15k-25k,上市公司
纯粹旅行,高级数据分析师,北京,"移动互联网,旅游",['数据分析'],5-10年,20k-35k,C轮
来电科技,高级数据分析师,深圳,"移动互联网,消费生活","['数据挖掘', '数据分析', 'Hadoop']",5-10年,20k-30k,不需要融资
安居客,高级数据分析师(J12084),北京,移动互联网,['数据分析'],3-5年,15k-30k,上市公司
美团点评,数据分析负责人,北京,消费生活,['数据分析'],5-10年,25k-35k,上市公司
贝壳,数据分析师,北京,房产家居,"['数据分析', 'SQL']",5-10年,20k-40k,D轮及以上
AKULAKU,中高级数据分析师,深圳,"移动互联网,金融",[],3-5年,15k-25k,D轮及以上
高登世德金融科技,数据分析（上海）,上海,"金融,数据服务",['数据分析'],1-3年,10k-17k,A轮
火花思维,数据分析师 (MJ000625),北京,"移动互联网,教育","['SQL', 'SPSS']",3-5年,15k-30k,C轮
滴滴,数据分析师,北京,汽车丨出行,"['SPSS', '数据分析', '可视化', '数据库']",3-5年,25k-45k,D轮及以上
深圳市保利物业管理集团有限公司,数据分析师,深圳,"电商,消费生活","['数据挖掘', '数据分析', '数据处理']",5-10年,15k-20k,不需要融资
云创世纪,数据分析师,深圳,"移动互联网,电商","['数据库', '数据分析']",1-3年,6k-10k,天使轮
捷晟信息,大数据分析师,贵阳,金融,[],不限,8k-16k,不需要融资
挖财,数据分析师实习生-上海 (MJ000770),上海,工具,"['SQLServer', 'MySQL']",1年以下,2k-3k,D轮及以上
